Product_ID,Product_Category,Orders,Actual_Returns,Actual_Return_Rate,Avg_Risk_Score,Avg_Price,Avg_Discount,Risk_Rank
PROD00008664,Electronics,1,1,100.0,0.6904,73.12,42.05,1
PROD00009351,Clothing,1,0,0.0,0.6882,32.92,38.93,2
PROD00000302,Clothing,1,1,100.0,0.688,139.65,39.08,3
PROD00004267,Electronics,1,0,0.0,0.686,49.86,45.89,4
PROD00004115,Clothing,1,0,0.0,0.6836,213.17,43.34,5
PROD00006759,Clothing,1,1,100.0,0.6811,375.6,40.31,6
PROD00004949,Electronics,1,1,100.0,0.6775,271.79,26.48,7
PROD00008798,Electronics,1,1,100.0,0.6775,426.96,47.81,8
PROD00002120,Clothing,1,0,0.0,0.6744,245.67,26.52,9
PROD00007552,Books,1,1,100.0,0.6739,168.12,45.86,10
PROD00009438,Clothing,1,1,100.0,0.6738,15.28,48.94,11
PROD00006268,Books,1,1,100.0,0.6736,13.55,31.65,12
PROD00009270,Clothing,1,1,100.0,0.6731,35.71,42.09,13
PROD00003143,Electronics,1,1,100.0,0.673,106.75,22.74,14
PROD00006599,Electronics,1,1,100.0,0.6728,39.22,22.56,15
PROD00006586,Books,1,1,100.0,0.6722,28.55,39.82,16
PROD00001433,Clothing,1,1,100.0,0.672,379.27,49.39,17
PROD00007611,Clothing,1,1,100.0,0.6704,154.98,12.23,18
PROD00005165,Toys,1,1,100.0,0.6694,56.52,37.74,19
PROD00005299,Toys,1,0,0.0,0.6687,154.47,47.27,20
PROD00008249,Electronics,1,0,0.0,0.6681,36.14,48.12,21
PROD00007827,Toys,1,1,100.0,0.6679,74.11,41.75,22
PROD00009900,Clothing,1,1,100.0,0.6678,109.93,48.38,23
PROD00003023,Home,1,1,100.0,0.6678,225.51,45.56,24
PROD00006395,Books,1,0,0.0,0.6652,117.55,22.31,25
PROD00008987,Toys,1,0,0.0,0.6648,176.22,44.84,26
PROD00002898,Electronics,1,1,100.0,0.6646,16.36,33.88,27
PROD00007356,Clothing,1,1,100.0,0.6635,199.76,41.54,28
PROD00007180,Clothing,1,0,0.0,0.6632,472.93,8.8,29
PROD00007546,Clothing,1,1,100.0,0.6631,146.19,45.99,30
PROD00007187,Books,1,0,0.0,0.663,36.05,2.21,31
PROD00008250,Home,1,0,0.0,0.6618,115.56,35.68,32
PROD00009380,Clothing,1,1,100.0,0.6617,34.0,38.82,33
PROD00007326,Clothing,1,0,0.0,0.6615,161.32,43.59,34
PROD00004546,Clothing,1,1,100.0,0.6613,59.1,49.35,35
PROD00009325,Electronics,1,1,100.0,0.6611,363.24,49.92,36
PROD00000137,Electronics,1,1,100.0,0.6606,285.21,40.21,37
PROD00007511,Electronics,1,1,100.0,0.6606,412.83,35.99,38
PROD00004272,Clothing,1,1,100.0,0.6605,88.22,38.77,39
PROD00007964,Home,1,1,100.0,0.6599,30.05,20.93,40
PROD00006476,Books,1,0,0.0,0.6594,379.28,47.86,41
PROD00006518,Books,1,1,100.0,0.6594,23.63,15.62,42
PROD00006073,Clothing,1,1,100.0,0.6593,143.58,0.02,43
PROD00002524,Clothing,1,1,100.0,0.6591,254.09,39.77,44
